motif,ig_score,norm_score,size
fragment_0,5.895778656005859,1.0,27
ring_0,2.3697245121002197,0.40193578600883484,6
ring_1,1.0618230104446411,0.18009886145591736,6
ring_2,1.0283257961273193,0.17441730201244354,6
ring_3,1.0587220191955566,0.17957289516925812,6
